cancer_project	cancer_type_abbr	driver_gene
Adrenocortical_carcinoma(TCGA,US)	ACC	SLC22A5, TMEM267, FASTKD3, SSBP2, TADA2B, NME5, TTC33, TCTN1, NUDT12, JADE2, ANKEF1, PKD2L2, TMEM232, C20orf96, ZNF470, CASC1, KIAA0232, IFFO1, MAN2A1, SPEF2, HSPB8, SPEF1, GNPDA2, PAM, STK32A, LRP3, TMEM129, CYP2U1, LRPAP1, FAM174A, FAM186B, H2AFJ, NFIX, N6AMT1, PTMS, RNF180, IQGAP2, C16orf71, NR3C2, MIGA2, PPP2R2B, DPH7, IKZF4, NUDT6, DOLPP1, NKAIN3, TMED7-TICAM2, MROH2B, FERMT1, RNFT2, AP4S1, LRRC6, P2RY11, LAMA5, ZNF497, FZD3, FAXDC2, FAM153A, SMIM17, BFSP1, PAK5, ZNF404, PCLO, C4orf33, KCTD16, CST3, PCDHGA2, INPP5E, C19orf67, TTLL9, ATG2B, LCORL, PCDHGC5, NUDT7, MFAP3L, MEGF10, PPFIA3, PCDHGB3, ABCA3, TSPAN12, NEDD8-MDP1, PCDH1, ZNF658, KLHL3, TRAM1L1, C9orf40, GGN, PCDHA10, HERC5, SNAPC4, TIGD4, C19orf48, ASB6, TTC23L, DYNLRB2, CCNK, MGARP, PRDM12, FAM170A, FAM71E1, PRKD1, NECAB1, A2ML1, CYSTM1, NRG2, TRIM52, MOCS2, MBLAC2, CPEB4, ZFP2, RNF44, ERCC4, MSX2, PKIG, ABAT, MPV17L, FITM2, ZNF879, CTSA, CBY3, ELOVL7, SLC4A9, PCIF1, TMEM174, MAP1B
Bladder_urothelial_carcinoma(TCGA,US)	BLCA	FANCD2, CEP72, SOX4, TRIP13, ASH2L, NSD3, BAG4, NBPF11, NDC80, PHYH, PPARG, SGO1, DHTKD1, TYMS, SPINT2, LSM1, MCUR1, DEK, ZNF607, TSEN2, GINS4, MKRN2, METTL4, GSTM1, ZNF829, DDHD2, RAF1, ZNF570, GDPD1, KDM1B, PPFIA1, PLPP5, SIRPB1, CDKAL1, E2F3, RALBP1, RAB11FIP4, SPTLC3, SLC6A11, EIF4EBP1, LPIN2, MKRN2OS, NUP210, HLA-DRB5, ZNF850, MRS2, ACBD7, RAB11FIP1, ALDH5A1, BRF2, ATP11A, JARID2, CMBL, LY6K, CCND1, TACC1, ZNF703, FBXO27, TYMSOS, MBOAT1, RHPN2, NUF2, B4GALT3, ZNF706, USP21, DEDD, F11R, PFDN2, POLR2K, SKP2, TDRKH, PPOX, POGK, ANKRD46, PABPC1, IGSF9, NECTIN4, PIGM, SPAG1, UFC1, CGN, OXCT1, MPC2, SNX31, KLHDC9, TMEM64, SLC19A2, C1orf112, DNMT3B, URI1, NR1I3, XCL1, DUSP23, TFRC, CCNE1, POP4, C19orf12, ZNF713, FCRLB, CCL28, ERBB2, ZBTB37, PSPH, BNIPL
Breast_invasive_carcinoma(TCGA,US)	BRCA	C8orf33, HGH1, MTFR1, THEM6, MRPS23, TMEM68, SLC52A2, CHMP4C, RRS1, PYCR3, TONSL, METTL2A, MRPL15, MCM4, C16orf71, FADD, AMZ2, VDAC3, PPFIA1, RECQL4, LSM1, BOP1, SUPT4H1, BRF2, SMIM19, MTMR4, SYT17, MED13, CCDC47, GOLGA7, ANKRD40, INTS2, KPNA2, PSMD12, ABAT, PLPBP, HLA-DRB5, LLGL2, RAD51C, CYB561, TACO1, CTTN, ASH2L, BAG4, SLC9A3R1, MCMDC2, SLC39A4, ERLIN2, TRIM37, DHX40, BRIP1, GINS4, ZBTB10, HID1, PPM1D, IGHMBP2, CCND1, TPCN2, APPBP2, XYLT2, MYBL1, ERBB2, SKA2, FTSJ3, KAT6A, DDHD2, NSD3, KAT7, GGH, LRRC59, AP3M2, RAB11FIP1, SMG8, FBXL16, PHB, CLTC, TANC2, POLB, STARD3, TOM1L1, EPN3, MRPL27, SLC35B1, MRPL21, PSMC5, PGAP3, PTRH2, C17orf58, CPT1A, SIRPB1, BAIAP3, GPAT4, TUBD1, STXBP4, UBE2Z, ADAM9, MSL1, SPATA20, SMARCD2, USP32, BIRC5, TMEM249, RNFT1, PLPP5, MBTD1, CASC3, SMIM22, FBXL20, EME1, GRB7, HEATR6, ZNF703, CACNG4, TESMIN, RNF43, CDK12, SNF8, MED24, MED1, EIF4EBP1, NHLRC4, CALCOCO2, UTP18, NDRG1, MIEN1, RAB26, PSMD3, C16orf45, THRA, GDPD1, ORMDL3, TOB1, JPT1, LETM2, NR1D1, RPS6KB1, JPH1, TM2D2, ANO1, SHISA9, METRN, C8orf86, POLR2K, FGFR1, MAPK15, NME1, SHANK2, TK1, SGK3, TFRC, ZNF652, DOC2A, POMK, IGFALS, XKR9, CACNB1, VWA3A, SYCP2, ADAM32, DLX3, DLX4, RHBDL1, RAPGEFL1, RIMS4, C16orf92, RPL19, MAFA, GSDMB, FAM57B, TCAP, WFDC3, MYT1, GNG13, PPM1E, CNGB3, C17orf82, LRRC3C, ABCC3, NME1-NME2, MTERF3, MTBP, YWHAZ, DCAF13, NUDCD1, RAD21, RAD54B, DSCC1, ATAD2, SQLE, MRPL13, E2F5, NDUFB9, PABPC1, TPD52, FZD6, NDUFAF6, ZNF572, MAL2, ZHX1-C8orf76, CCNE2, MUC1, LAPTM4B, WWP1, AURKA, TSPYL5, C2CD4D, ZBTB18, BCAS4, ATP9A, AARD, PPP1R3D, CPNE1, CAPN9, S100A1, SLC17A9, PTPN1, RDH10, EEF1A2, AGT, PARD6B, SPAG4, CNBD2
Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma(TCGA,US)	CESC	TIMM50, TP63, PABPC1L, SPINT2, PSMD8, ZNF566, GGT7, EXOC3-AS1, ZNF567, RPS16, HLA-DRB5, MRPS12, C20orf27, ZNF461, LRFN1, MICB, VN1R1, NECTIN2, ZNF419, ZNF350, SALL4, BCAM, CBLC, TRIP13, SYNE4, RNF168, PIGX, NMNAT3, TMEM44, PLD1, PPP2R3A, ATP1B3, ABCC5, GPR87, EPHB3, CEP19, TNFSF10, RPL39L, IL20RB, GRK7, P2RY1, OSMR, MLF1, RPL7, HRASLS, PXMP4, NIM1K, ALG1L, SOX2, RBP1, BNIPL, SPSB4, CNBD2
Cholangiocarcinoma(TCGA,US)	CHOL	TADA1, DNAH14
Colon_adenocarcinoma(TCGA,US)	COAD	GGT7, NEK3, ABHD12, ENTPD6, C8orf33, RUBCNL, TRIB3, LZTS3, GSTM1, ARL11, PLCB4, SERP2, PHACTR3, MAPK15, TMEM74B, HLA-DRB5, PTP4A3, NINL, SPERT, UGT2B17, ZSWIM3, PIGU, NELFCD, DDX27, TP53RK, POFUT1, MOCS3, PXMP4, HNF4A, PLAGL2, COMMD7, ATP9A, OSER1, FITM2, CPNE1, SPATA25, ACOT8, PDRG1, NEURL2, MAP1LC3A, R3HDML, PABPC1L, TNNC2, GTF3A, PMEPA1, ACTL10, LIME1, LAPTM4B, BCAS4, SLC13A3, ID1, TMEM255B, WFDC10A, SALL4, ROMO1, DUSP15, RPS21, GRK1, CLDN15, F10, FAM83C
Lymphoid_neoplasm_diffuse_large_b_cell_lymphoma(TCGA,US)	DLBC	GSTM1
Esophageal_carcinoma(TCGA,US)	ESCA	PPFIA1, FADD, CTTN, TP63, TOP1MT, XXYLT1, DNAJC19, RICTOR, RAP2B, GPR87, CCND1, ATP1B3, FAM86C1, CLPB, LMTK2, NADSYN1, IKBKB, MCM7, RNF121, BAIAP2L1, SIAH2, EXOC3-AS1, IL1RAP, MCM2, NSD3, EPHB4, ANO1, PLOD3, NUMA1, ARPC1A, IRX2, SHANK2, C5orf38, ASH2L, SLC25A13, DBF4, CHCHD6, RSPH9, AP3M2, OR2A7, FAM157A, LSM1, MRPS18A, MAD2L1BP, GTPBP10, C5orf34, BAG4, TPCN2, ARAP1, VPS50, DHCR7, CDC5L, ANKIB1, OXCT1, GINS4, KLC4, CEP97, ALG1L, TBCC, GTPBP2, BET1, BICRAL, CNPY3, ARPC1B, ERLIN2, CLDND1, PHLDB2, OARD1, AARS2, PLXNA1, UBR2, FOXP4, PLPBP, RPL7L1, ORC5, USP49, MRPL14, VEGFA, P2RY1, CTAGE4, POLB, VDAC3, NFYA, BASP1, LAMTOR1, KLHDC3, YIPF3, KIFC2, POLR1C, RRP36, PPP2R3A, BUD31, POLH, TJAP1, ZKSCAN5, DNPH1, ZNF394, MED12L, BRF2, MRPL21, HLA-DRB5, FYTTD1, ACTL6A, WDR53, RFC4, RNF168, PCYT1A, MAGEF1, PIGX, TP53TG5, PFN2, FITM2, TCTEX1D2, RPL39L, SPATA25, NOL4L, MLF1, CEP19, TFRC, HNF4A, PABPC1L, ABCC5, PARD6B, SOX2, TNFSF10, R3HDML, B3GNT5, SGK2, P3H4
Glioblastoma_multiforme(TCGA,US)	GBM	LRRC37A, SIRPB1, SLC24A3, HLA-DRB5, CTDSP2, OS9, EGFR, AEBP1, SEC61G, LANCL2, WEE2, NIPSNAP2, SUMF2, PABPC1L, MRPS17, ZNF713, PSPH, VOPP1
Head_and_neck_squamous_cell_carcinoma(TCGA,US)	HNSC	FADD, PPFIA1, CTTN, ANO1, CCND1, CLPB, RNF121, DHCR7, NADSYN1, NSD3, FAM86C1, ANAPC15, LRTOMT, YES1, IGHMBP2, LAMTOR1, SHANK2, PLPP5, MRPL21, NAALADL2, EGFR, OR2A7, TPCN2, SIRPB1, HLA-DRB5, GSTM1, RAD52, ZDHHC11, FGF12, NDC80, JAK2, PLEKHG4B, CPT1A, CTAGE4, RAD51AP1, MYL12B, TESMIN, TYMSOS, LETM2, GSTT2B, FBXL14, DNAH5, TAS2R43, MYEOV, RFC4, MCCC1, TFDP2, ABCC5, HLTF, NMNAT3, C3orf33, KCNMB3, CLCN2, MLF1, SOX2, IQCB1, LEKR1, MCM2, POLQ, PIGZ, ARHGEF26, TFRC, RPL39L, KCNMB2, CEP70, PLS1, SLC35G2, ZDHHC23, DGKG, ILDR1, CCT6A, MED12L, CHCHD2, PLSCR2, SUMF2, PXYLP1, CMBL, HRASLS, IRX4, LANCL2, B4GALT4, NIPSNAP2, TMEM267, C3orf70, PODXL2, MAPK15, VOPP1, PC, TPPP, ALG1L, ZNF713, EXOC3-AS1, SEC61G, TMEM249, SLC15A2, PSPH, SYT12, IGSF11, TTC23L, MRPS17, PCOLCE2, RAB6B, C5orf38, A4GNT
